report	1	21.266-26.115	149.010-168.917	71.620-95.195
report	2	31.957-42.498	116.960-180.827	66.925-84.410
report	3	29.243-46.486	114.577-182.795	50.052-80.251
report	4	27.492-43.054	159.198-180.931	69.789-110.685
report	5	48.560-59.160	128.967-148.673	51.720-75.358
report	6	41.004-56.092	129.425-203.765	59.273-75.020
report	7	24.396-28.646	131.997-147.201	49.132-63.156
report	8	32.176-44.880	136.810-163.399	56.206-71.212
report	9	23.469-31.906	108.986-168.689	62.969-74.515
report	10	23.797-33.192	125.248-166.470	70.371-89.575
report	11	36.944-52.446	155.601-180.902	63.275-89.311
report	12	51.224-59.406	173.503-210.804	72.588-82.061
report	13	24.678-33.963	130.816-159.484	47.464-65.714
report	14	27.582-43.259	146.403-202.296	58.907-93.729
report	15	39.274-57.265	133.083-203.735	74.962-123.042
report	16	56.573-67.830	133.544-213.914	59.836-81.286
report	17	33.663-54.440	147.086-222.764	54.968-80.446
report	18	19.072-29.503	146.676-176.197	61.246-73.793
report	19	11.236-13.823	145.101-202.875	60.019-81.951
report	20	45.905-54.557	150.783-198.892	79.278-104.610
report	21	28.222-44.286	147.602-202.277	61.407-73.562
report	22	31.406-38.798	138.230-178.955	57.092-80.607
report	23	27.391-32.656	141.279-206.727	51.759-62.347
report	24	24.380-40.572	108.885-168.508	64.450-76.233
report	25	36.998-55.145	146.850-206.492	86.668-143.828
report	26	12.732-20.452	137.694-155.206	51.905-68.258
report	27	24.286-27.291	138.687-199.910	60.726-74.347
report	28	52.043-68.731	119.750-181.532	52.260-65.782
report	29	31.280-35.767	142.239-171.436	46.918-62.185
report	30	45.072-64.714	134.806-161.961	47.743-60.256
report	31	39.962-46.306	157.552-197.169	58.519-67.626
report	32	12.564-17.140	128.518-193.141	78.949-118.659
report	33	36.897-59.375	119.121-185.866	47.889-66.762
report	34	31.177-37.459	100.632-151.165	54.327-82.880
report	35	25.257-33.644	129.545-151.221	49.457-72.639
report	36	42.531-66.774	156.287-196.409	73.692-83.489
report	37	40.986-65.814	108.491-169.448	47.783-69.017
report	38	41.490-57.810	155.764-178.566	67.224-94.039
report	39	31.967-49.326	143.999-192.393	40.206-63.985
report	40	37.574-41.976	142.021-204.969	47.009-77.538
report	41	36.759-41.481	129.533-156.155	66.531-91.332
report	42	8.765-12.230	153.924-184.766	42.659-55.531
report	43	58.017-85.894	134.529-159.236	76.525-94.006
report	44	36.658-43.978	135.103-204.043	64.215-92.272
report	45	14.484-23.952	134.865-161.995	64.166-74.497
report	46	14.663-17.747	106.341-176.552	59.327-71.834
report	47	23.252-32.622	131.410-209.397	48.997-66.836
report	48	50.280-59.450	117.776-162.862	54.186-62.949
report	49	12.175-15.325	147.490-212.445	82.533-127.277
report	50	36.544-49.613	117.658-192.066	54.168-80.981
report	51	51.057-60.214	147.586-169.285	54.342-78.789
report	52	61.516-70.772	153.839-171.949	68.512-88.217
report	53	33.110-42.128	114.226-155.596	43.518-53.813
report	54	45.732-68.234	128.534-180.704	63.820-71.568
report	55	42.541-54.964	136.574-181.814	79.372-90.934
report	56	37.345-52.517	143.626-167.230	52.439-60.506
report	57	19.235-26.262	129.191-178.924	46.273-71.002
report	58	43.566-54.525	148.621-183.314	34.010-51.229
report	59	24.528-35.938	135.451-153.526	42.543-49.919
report	60	31.819-37.935	151.904-217.010	49.256-70.404
report	61	40.909-65.650	110.150-174.950	44.444-55.913
report	62	32.566-47.352	148.092-171.984	32.624-37.559
report	63	10.052-12.656	133.128-159.449	38.268-49.430
report	64	60.028-88.624	120.974-196.776	70.687-98.762
report	65	15.448-23.710	132.864-202.999	56.250-89.125
report	66	29.160-37.002	123.483-197.887	56.960-83.424
report	67	31.654-43.210	124.983-156.821	64.250-87.501
report	68	34.422-42.837	131.779-185.511	54.072-83.146
report	69	26.409-40.223	164.648-212.136	85.271-102.103
report	70	22.178-36.523	143.710-164.714	39.321-53.869
